pubchem_cid,pubchem_inchi,pubchem_smiles,name,origin,pIC50
54753101.0,"InChI=1S/C26H25FN4O2/c1-17-10-11-20(27)18(2)24(17)33-26-22(25(32)30-15-13-28-14-16-30)23-21(9-6-12-29-23)31(26)19-7-4-3-5-8-19/h3-12,28H,13-16H2,1-2H3",CC1=C(C(=C(C=C1)F)C)OC2=C(C3=C(N2C4=CC=CC=C4)C=CC=N3)C(=O)N5CCNCC5,b2a3m,BMCL2011A,8.8861
52949598.0,"InChI=1S/C26H24FN3O3/c1-17-7-8-18(27)15-23(17)33-26-24(25(32)29-13-11-28-12-14-29)21-16-20(31)9-10-22(21)30(26)19-5-3-2-4-6-19/h2-10,15-16,28,31H,11-14H2,1H3",CC1=C(C=C(C=C1)F)OC2=C(C3=C(N2C4=CC=CC=C4)C=CC(=C3)O)C(=O)N5CCNCC5,b1i5c,BMCL2010,8.6990
44195154.0,"InChI=1S/C28H28FN3O2/c1-18-20(7-6-10-22(18)29)17-24-27(28(34)31-15-13-30-14-16-31)26-19(2)25(33)12-11-23(26)32(24)21-8-4-3-5-9-21/h3-12,30,33H,13-17H2,1-2H3",CC1=C(C=CC=C1F)CC2=C(C3=C(N2C4=CC=CC=C4)C=CC(=C3C)O)C(=O)N5CCNCC5,b1i5k,BMCL2010,8.6990
44194118.0,"InChI=1S/C26H25FN4O2/c1-17-8-9-21(27)18(2)24(17)33-26-23(25(32)30-14-12-28-13-15-30)20-10-11-29-16-22(20)31(26)19-6-4-3-5-7-19/h3-11,16,28H,12-15H2,1-2H3",CC1=C(C(=C(C=C1)F)C)OC2=C(C3=C(N2C4=CC=CC=C4)C=NC=C3)C(=O)N5CCNCC5,b2a6d,BMCL2011A,8.6990
53346499.0,"InChI=1S/C32H29FN4O2/c1-22-12-13-24(33)21-28(22)39-32-29(31(38)36-18-16-34-17-19-36)26-14-15-35-27(20-23-8-4-2-5-9-23)30(26)37(32)25-10-6-3-7-11-25/h2-15,21,34H,16-20H2,1H3",CC1=C(C=C(C=C1)F)OC2=C(C3=C(N2C4=CC=CC=C4)C(=NC=C3)CC5=CC=CC=C5)C(=O)N6CCNCC6,b2a7d,BMCL2011A,8.5229
56668564.0,"InChI=1S/C26H26N4O3/c1-17-7-6-8-18(2)24(17)33-26-22(25(32)29-13-11-27-12-14-29)23-21(15-20(31)16-28-23)30(26)19-9-4-3-5-10-19/h3-10,15-16,27,31H,11-14H2,1-2H3",CC1=C(C(=CC=C1)C)OC2=C(C3=C(N2C4=CC=CC=C4)C=C(C=N3)O)C(=O)N5CCNCC5,b2a5d,BMCL2011A,8.5229
53387671.0,"InChI=1S/C27H28N4O3/c1-18-8-7-9-19(2)24(18)34-27-23(26(32)30-16-14-28-15-17-30)21-12-13-22(33-3)29-25(21)31(27)20-10-5-4-6-11-20/h4-13,28H,14-17H2,1-3H3",CC1=C(C(=CC=C1)C)OC2=C(C3=C(N2C4=CC=CC=C4)N=C(C=C3)OC)C(=O)N5CCNCC5,b3a4e,BMCL2011B,8.5229
52945779.0,"InChI=1S/C27H26FN3O2/c1-18-19(6-5-9-23(18)28)16-25-26(27(33)30-14-12-29-13-15-30)22-17-21(32)10-11-24(22)31(25)20-7-3-2-4-8-20/h2-11,17,29,32H,12-16H2,1H3",CC1=C(C=CC=C1F)CC2=C(C3=C(N2C4=CC=CC=C4)C=CC(=C3)O)C(=O)N5CCNCC5,b1i5j,BMCL2010,8.3979
52946997.0,"InChI=1S/C27H26FN3O2/c1-18-19(6-5-9-23(18)28)16-25-26(27(33)30-14-12-29-13-15-30)22-11-10-21(32)17-24(22)31(25)20-7-3-2-4-8-20/h2-11,17,29,32H,12-16H2,1H3",CC1=C(C=CC=C1F)CC2=C(C3=C(N2C4=CC=CC=C4)C=C(C=C3)O)C(=O)N5CCNCC5,b1i5i,BMCL2010,8.3979
56678781.0,"InChI=1S/C26H32N4O2/c1-18-8-6-9-19(2)24(18)32-26-22(25(31)29-16-14-27-15-17-29)23-21(12-7-13-28-23)30(26)20-10-4-3-5-11-20/h6-9,12-13,20,27H,3-5,10-11,14-17H2,1-2H3",CC1=C(C(=CC=C1)C)OC2=C(C3=C(N2C4CCCCC4)C=CC=N3)C(=O)N5CCNCC5,b2a4a,BMCL2011A,8.3979
